License Permit ID,Description,Expiration Date,DBA,LegalName,Premises County,Type,Class,Effective Date,Actual Address Of Premises,Additional Address Information,City,State Name,Zip Code,Original Issue Date,Last Issue Date,Legacy_Serial_Number,AKA Address,Georeference
0340-22-105664,Restaurant,5/31/2024,ROLLIN' GREENS,FGDR RESTAURANT CORP,Queens,1,340,2/22/2024,247 77 JERICHO TPK,JAMAICA AVE & COMMONWEALTH BLV,BELLEROSE,New York,11426,2/22/2024,2/22/2024,1203875,,POINT (-73.72015 40.72559)
0340-22-207062,Restaurant,5/21/2024,,ROCKY'S TAVERN OF GLOVERSVILLE LLC,Fulton,1,340,3/20/2024,97 SOUTH MAIN ST    PO BOX 502,,GLOVERSVILLE,New York,12078,3/20/2024,3/20/2024,2006660,,POINT (-74.34761 43.04779)
0340-22-106460,Restaurant,5/7/2024,BOCA MARINA,RESTAURANT BOCA MARINA INC,Westchester,1,340,4/4/2024,40 GRACE CHURCH ST,,PORT CHESTER,New York,10573,12/13/2022,12/13/2022,1297097,,POINT (-73.66515 40.9965)
0240-22-102359,Restaurant,4/30/2024,WOODSIDE CAFE,WOODSIDE CAFE INC,Queens,1,240,4/23/2024,6006 WOODSIDE AVE,,WOODSIDE,New York,11377,4/23/2024,4/23/2024,1267796,,POINT (-73.9042 40.74504)
0240-22-101153,Restaurant,4/30/2024,GUSTO PIZZA,DAVELI LTD,Westchester,1,240,12/22/2023,18 CHATSWORTH AVENUE,,LARCHMONT,New York,10538,12/22/2023,12/22/2023,1339019,,POINT (-73.75166 40.92984)
0240-22-201576,Restaurant,4/30/2024,NYACK DINER,THREE BROTHERS OF NYACK INC,Rockland,1,240,5/2/2024,41 RTE 59,STORE 7 & 8,NYACK,NY,10960,5/2/2024,5/2/2024,2218938,,POINT (-73.93463 41.09367)
0240-22-100169,Restaurant,4/30/2024,,TOP HOPS II INC,New York,1,240,11/14/2023,570 LEXINGTON AVE,BOOTH #116,NEW YORK,New York,10022,11/14/2023,11/14/2023,1308688,,POINT (-73.97214 40.7568)
0240-24-211766,Restaurant,4/30/2024,NYACK DINER,THREE BROTHERS OF NYACK INC,Rockland,1,240,5/1/2024,41 RTE 59,STORE 7 & 8,NYACK,New York,10960,5/1/2024,5/1/2024,6019932,,POINT (-73.93463 41.09367)
0340-23-127708,Restaurant,4/30/2024,,CASA RUBIO RESTAURANT INC,Queens,1,340,3/10/2023,98-05 NORTHERN BLVD,,CORONA,New York,11368,3/10/2023,3/10/2023,1126958,,POINT (-73.87011 40.75716)
0340-22-207009,Restaurant,4/30/2024,HANKS,HENRY'S NORTH SHORE INC,Oswego,1,340,6/18/2024,32 STATE ROUTE 49,HALLENBECK RD & NORTH ST,CLEVELAND,New York,13042,6/18/2024,6/18/2024,2602156,,POINT (-75.87833 43.23307)
